artist,av_time_btwn_release,total_albums,track_per_album,image_url,danceability mean,danceability vol,energy mean,energy vol,key mean,key vol,loudness mean,loudness vol,mode mean,mode vol,speechiness mean,speechiness vol,acousticness mean,acousticness vol,instrumentalness mean,instrumentalness vol,liveness mean,liveness vol,valence mean,valence vol,tempo mean,tempo vol,classic
JID,647.0,3.0,12.666666666666666,https://i.scdn.co/image/850355b6dd218765cff30856442660d15d04c22e,0.6682698412698412,0.1192671921756726,0.5993253968253969,0.12624554211642808,5.460317460317461,3.517527056848157,-7.977246031746031,2.4666636168427805,0.6865079365079364,0.46119154881106866,0.3191496031746031,0.16116796286835952,0.26338476190476195,0.1901670259472411,0.0029344723412698405,0.006781481326034623,0.21723055555555557,0.15444949474432257,0.45406031746031744,0.18535627716474667,112.17776984126984,31.824159227044845,False
Logic,233.0,10.0,14.0,https://i.scdn.co/image/9935c77a1d9ec285adb620a51f63e6611957879e,0.6712910994560994,0.1156336104614207,0.7309040424852924,0.1408233306637932,5.2676549839049835,3.804885443724045,-6.502315478271727,2.4761792447374757,0.541397213897214,0.47649069090696977,0.18690250581363083,0.1317911139063358,0.22034519852092355,0.19264232958427746,0.01418037972860334,0.0382726174455046,0.21207349067599068,0.12784760239633605,0.5187489152514153,0.20489578305703246,123.23612678557552,30.494867690054036,False
BROCKHAMPTON,245.0,6.0,14.666666666666666,https://i.scdn.co/image/6f2b36cd3bdfde856ab93eb242847cac37fefed7,0.6202562877073907,0.14581984667433429,0.5661331416540976,0.13489472577105285,5.135658622423328,3.5723878292174596,-9.150893215811967,3.522229169871236,0.6778500502765209,0.44598593238881584,0.17810356177727504,0.12544560428128945,0.37321276809954756,0.26608409491269264,0.03269284050377074,0.10513489906104771,0.2568473809074912,0.17262535261870507,0.46430856271995985,0.20800587212272567,114.11459863624937,28.37660723641498,False
Smino,604.0,2.0,18.0,https://i.scdn.co/image/0a3bf5643e9cea530be8310484f7ce65520e3e2e,0.6626666666666667,0.09377994991181654,0.5152222222222221,0.10805862740074654,4.638888888888889,3.52793116087223,-8.309527777777776,1.5922073519530748,0.4722222222222222,0.49845199749997665,0.4064444444444445,0.1060284420926831,0.4617388888888888,0.23460243428640004,0.003693589722222222,0.01480977669724337,0.2512361111111111,0.16857269070162872,0.5151111111111111,0.18760280537355192,112.61680555555557,34.944778327547766,False
SZA,701.0,3.0,12.666666666666666,https://i.scdn.co/image/92512e953dcac544a48dc9a3e331725ea65ccff2,0.6232285714285714,0.12939242015565547,0.5689571428571428,0.10500884302527269,4.0285714285714285,3.7432040429158797,-7.518128571428572,1.7765830441065973,0.5619047619047618,0.47884118643821827,0.16691380952380952,0.10535061515831427,0.29568719047619046,0.23231181274553614,0.025688794047619045,0.059143109846463614,0.16646238095238095,0.10787436067227607,0.35634571428571427,0.15007619458024604,115.73983333333335,25.15123817068854,False
Travis Scott,393.0,5.0,13.4,https://i.scdn.co/image/a707baf8df8743deee2b449dec59e417c7b0ff65,0.6763162330316742,0.11624249980718541,0.6264758322559792,0.11702071430893632,4.666717840982547,3.4070956746341468,-5.407449393988365,2.4993470577656796,0.45190691661279897,0.47720973686677803,0.10709702811893988,0.07558836621384953,0.14228639619424693,0.15637404463780885,0.024834853269473173,0.06250638165744307,0.1898791580478345,0.10911185031890228,0.30246842032967036,0.17257923805964076,132.76056468164185,19.417803751391737,False
MF DOOM,418.0,15.0,21.333333333333332,https://i.scdn.co/image/9e8659627a0458faf11ddede64a86dc12542ce69,0.5991192174484213,0.12091879396991262,0.6776797945320582,0.15714112299441574,5.562100265030682,3.4398407901894217,-7.4250487637816525,2.1803701958200574,0.5682436139502136,0.4180990740343706,0.2438458326328143,0.11812618722477922,0.2271478715881724,0.19745215749207856,0.30249080439681564,0.21890760837643372,0.2881416997141229,0.1876269669590181,0.6420771058385262,0.16555192067582522,110.7231110094855,32.2786299126603,True
Nas,374.0,27.0,15.25925925925926,https://i.scdn.co/image/cfd69a226ae97922de551a6143ac42428d808d84,0.6467801514776679,0.11636984174266418,0.7151310908019602,0.12666400707995817,5.722543086905832,3.371023294228989,-6.857666116017847,1.850615818830403,0.5313618788618789,0.4788065521224986,0.30819192659434486,0.12489241827920568,0.1421955881987336,0.15658183723624083,0.0012481905126515275,0.004019898797563102,0.22699551653321265,0.14418958355272504,0.5549162028782159,0.1840887733465305,104.81773479375322,27.20085969300556,True
Kendrick Lamar,338.0,9.0,13.555555555555555,https://i.scdn.co/image/b772a78d4cb192268d6f601a78f21044c17d6dda,0.6274762769637768,0.1163154905857551,0.6411571225071225,0.12222135305375506,4.97954822954823,3.5612318047188185,-7.875308516483518,2.238575989119302,0.5363349613349614,0.4882700973291526,0.2860291687016687,0.14083729855434646,0.2517021618844119,0.19776413362518414,0.002738173471662597,0.00944953794389926,0.27343485704110704,0.16771774823809757,0.4335455255392755,0.17195164772225305,118.96451393976395,29.49292922126258,True
J. Cole,403.0,11.0,16.181818181818183,https://i.scdn.co/image/ff24214a2e41e0d0a4621b35c53e0573c2c6a65e,0.6373974192474191,0.12818358589628473,0.6152101808544991,0.1344581019697064,5.518489717353353,3.529439156876507,-8.631846316814498,2.0207215617197813,0.5212609360336633,0.47574731096166684,0.2915575871477008,0.1496562877806165,0.2984177777065107,0.22925150210337533,0.004636833372473486,0.014879587421531686,0.2681041843888435,0.1495619716909987,0.42310965282192553,0.1857955027532004,111.39587228011887,31.21506555333463,True
Mos Def,824.0,6.0,13.0,https://i.scdn.co/image/d5fec1743c5af5eb5fccecee7b5a6037eb3bfa87,0.6633659027247263,0.08626890713209057,0.7031584019466374,0.11832486354804607,6.2379127408539174,3.278971973149277,-8.062999643493763,1.784990783936841,0.5731743202331437,0.47553636887899714,0.31934941416970825,0.15482198873973627,0.24715526240273886,0.18032888873332018,0.011848403396358542,0.04317685414429309,0.31513598873892995,0.20729197052511653,0.6060121551650964,0.1447886789822375,101.33395883626177,18.114722434130396,True
The Notorious B.I.G.,1380.0,7.0,20.0,https://i.scdn.co/image/e56612ae56c9007e99ab36b83efd4faf6401260d,0.6802950462194447,0.1525159489364846,0.7138262479792555,0.14738347969798177,6.088908689472599,3.367172519717396,-6.525169007963632,2.5336065590015635,0.5399210146578568,0.49188093787773923,0.3011794734129697,0.14285587548247208,0.22003789550445374,0.19460351974529494,0.0015010777771588062,0.0053671524020666595,0.24204188380583494,0.17587452389707778,0.5746829504497174,0.20106734077721775,113.72900181134658,37.36665635283553,True
Tupac,506.0,21.0,18.428571428571427,https://i.scdn.co/image/0334d2f0cd1eb65f81831c4ddf4a0b249479564c,0.7163538622895862,0.11027028217373834,0.7109042036689025,0.11009464322066358,5.72862823712843,3.5966516906178274,-7.254366802735242,1.939847787577867,0.547456659744161,0.47821369134367375,0.26072335393607293,0.11750359635309462,0.15170766123288967,0.1626636661996921,0.0054002449454069994,0.016360103739788745,0.28256128649164747,0.15826983828617466,0.5831620585988792,0.1634477443399246,102.74616368506005,27.990839128546813,True
Dr. Dre,2761.0,4.0,18.75,https://i.scdn.co/image/dd4a7102c5e1897bab2b1fa4bbc086fbe2fc87dc,0.7076224184782609,0.11493703314974393,0.719396195652174,0.13837887945081964,5.578532608695652,3.343650835910532,-5.722057608695652,2.613009171010706,0.5569293478260869,0.475447279780145,0.2559741440217391,0.17835137636149123,0.1071967540326087,0.1322268733336284,0.17440625834239132,0.09464698230388684,0.22078452445652175,0.16799078094332306,0.5835344836956522,0.18165860866004035,101.8058120923913,29.30383150219469,True
Snoop Dog,303.0,33.0,16.21212121212121,https://i.scdn.co/image/1e67815be9174e75753d52a006b86077a39719cf,0.6815384740644398,0.11947243078025382,0.6974643296455163,0.13021501833385665,5.403451332574608,3.4795863746798674,-6.570754244481751,1.8469794304564495,0.6102909039001776,0.4567270919481327,0.24046495530396444,0.11841454573038201,0.15984361141940295,0.1642895428792747,0.0274298015574009,0.017200820029326047,0.2584905180654086,0.15721991412449213,0.5602487352742678,0.17627706371831797,105.40796648272139,25.25630615851822,True
Mobb Deep,906.0,12.0,16.916666666666668,https://i.scdn.co/image/771ef2f8896bb29e3289d92287de58c25c1e5353,0.7045619830827068,0.10591508877900724,0.6885159948482317,0.1362515416910808,6.041036619326094,3.634094009618304,-7.568650076580339,3.0038082377076267,0.5196480785296576,0.4906213235211949,0.34315557426552495,0.1608011015310815,0.17354277730785295,0.20747760244091182,0.020785674380961083,0.05402920001249494,0.22927521190128097,0.1456586466165898,0.5605375374199388,0.1722445909690625,109.51030786253831,32.20893885733207,True
Kanye West,358.0,17.0,13.588235294117647,https://i.scdn.co/image/ac5cb571c194ca5a942b8096618217839b901a76,0.595330363599249,0.11978563792055773,0.6275491895230672,0.13694781106420426,5.45517289727816,3.5571623505474967,-6.726192986631531,1.8834021384907198,0.4855660851016888,0.4846620530489782,0.21390904269105507,0.14619826905555025,0.2080230007270851,0.1934644677905132,0.012114090696028946,0.024130893148893152,0.27525277243525315,0.18461885525986074,0.43242028554778555,0.18178470789851048,112.35882208833478,30.12425842894126,True
Jay-Z,307.0,26.0,15.846153846153847,https://i.scdn.co/image/1420226e471d0e56ae4de7cb28ba2eb4de0a29ce,0.6739505839673149,0.1175344673580996,0.7619670988306565,0.11028956754174686,5.423580938292478,3.496477327549585,-5.650242009016624,1.4244890836329154,0.544270921386306,0.48086365580444884,0.3354006545857988,0.1035363024432068,0.1387858216170048,0.11520091077593844,0.007236281815416315,0.01673663601179725,0.25176096650464924,0.16097360230697483,0.5856718698929275,0.16599402504199917,108.9505293663708,30.65116675646953,True
De La Soul,1447.0,4.0,15.5,https://i.scdn.co/image/a27978888bb0607c6c52f5c3babd21d2c8291683,0.6625127545248869,0.1595886879304343,0.49449116233031676,0.14221805516071287,6.3110859728506785,3.3571667086257566,-11.101561580882352,2.85323726145226,0.5674490950226244,0.4944487988860908,0.17850403704751133,0.1068795574706156,0.16219041713800905,0.17401391339585476,0.36701358546380086,0.13229727030731528,0.21706853082579186,0.14972232444596556,0.5690851385746607,0.22586754587490473,110.58713857466061,29.726880317869664,True
Wu-Tang Clan,388.0,25.0,17.6,https://i.scdn.co/image/41a1ee021707d5146befcaa87e55fdb59d22c987,0.6501066033323234,0.12253410352246095,0.6965735366547698,0.11169485794903061,5.928427833272501,3.418872549057263,-7.616319028789361,1.7810798092243707,0.5750966024029706,0.47408393290749606,0.2942705844368198,0.11500226729424332,0.22166700540090864,0.1778663659059475,0.06801936689689488,0.0684385993654676,0.33784267777016685,0.1926517923708961,0.5545801098964389,0.1748500517880656,109.57891115458858,30.65271196007091,True
Lauryn Hill,1351.0,2.0,19.0,https://i.scdn.co/image/f91d27d0fb43cfed4855d46a119310055cd30a39,0.5991761363636363,0.12028621672086064,0.4700977272727273,0.1421365305736494,4.630681818181818,3.474215074014749,-12.547713068181817,5.146104137136328,0.46875,0.4980391854123054,0.3975857954545455,0.22838557170826868,0.3997167613636364,0.20015859183425663,0.0003415777840909091,0.001085298798788349,0.3771392045454545,0.19885964572178536,0.6325795454545455,0.1327996518830331,113.42538352272729,35.76676303290898,True
Outkast,1194.0,7.0,21.428571428571427,https://i.scdn.co/image/a31121c2bf91867173e02bb1453805e8822e4148,0.6901277430972389,0.14619030396682042,0.651710806322529,0.17933299265134472,5.588123249299719,3.5922765418419655,-8.553474723889556,3.789838186804331,0.5560764305722288,0.4870646147667476,0.2906473843537415,0.16621812414034015,0.23228208950580229,0.23508352352250136,0.019860386002681075,0.07366862810786763,0.28669722649059626,0.1712982512197736,0.4885324529811924,0.1985148516280715,111.7386569347739,31.68292337579277,True
A Tribe Called Quest,1941.0,6.0,16.166666666666668,https://i.scdn.co/image/98a7bb2194747b049668d58591d8ac2628543ea4,0.8099666199813257,0.07798860060265954,0.5669552637721754,0.11790400316438349,6.0377334267040155,3.6607494452026903,-9.022475968720823,1.7304768697607058,0.5904178338001866,0.4643378735034594,0.27850921451914096,0.08946037815720631,0.16988151085434175,0.15362776540426626,0.043426069075163394,0.11063923515427465,0.21095776435574232,0.14231320873282155,0.6724900268440711,0.13920942315425616,98.17226998132587,10.259368805111611,True
Naughty by Nature,1146.0,10.0,15.6,https://i.scdn.co/image/01959784d97e14e523f9b6063eacac4aea7b8eea,0.7575887552423423,0.13552621676347978,0.7154813229282795,0.11069670837986552,6.058602816265859,3.5330506675524362,-7.5485215942028985,1.6523493931534443,0.5309614721027764,0.48833045336508485,0.2728370631602697,0.11733087195648109,0.13425368837261772,0.14091402205688433,0.009874182644081462,0.02597528788009391,0.25417775822848643,0.18343140296206784,0.5928835546066253,0.20615745184584638,100.51973067447045,24.42559457778694,True
Cypress Hill,825.0,13.0,15.692307692307692,https://i.scdn.co/image/9bea6450209c52aba2a8796cd9261bdd73391365,0.6923851940480333,0.12819953349335297,0.6798229010243152,0.12488849131992151,5.78204589528119,3.3057688233403253,-9.445390279366183,2.02907960101896,0.6370887408217725,0.4670202573867154,0.28068819872623607,0.12408211067446737,0.09776574459976299,0.12108748940344448,0.18303888225873902,0.2157087769305458,0.26699344993618745,0.16263994977669574,0.4876871412825486,0.1807885597550752,111.8990632446174,30.951194728650876,True
Common,614.0,17.0,13.588235294117647,https://i.scdn.co/image/a74bca5c7204380f8e65ffb6113fa5252964ca6b,0.6449372821094708,0.10757690115865487,0.6041887643642401,0.14660467067351657,5.608070807508524,3.3424046546531474,-10.828418740789198,2.9764881912097705,0.4799538984660091,0.46343506901392123,0.29826230948693755,0.11238243473634865,0.283837442964475,0.17515986255119315,0.06831607636611225,0.09598918883342751,0.2774580627619209,0.17227262340145907,0.5259209260088239,0.17680065238102,101.07179971062675,23.57109493571037,True
